id,coordinates,normalized_coordinates,type,technology
0,"[13.40410041631795, 52.511300581235005]","[1491, 1159]",DAS,4G
1,"[13.404100509276502, 52.5113009577323]","[1491, 1159]",DAS,4G
2,"[13.3989006229607, 52.51730011202255]","[1107, 1810]",DAS,4G
3,"[13.39890032496861, 52.51730050417313]","[1107, 1810]",DAS,4G
4,"[13.398900327452681, 52.51730015134574]","[1107, 1810]",DAS,4G
5,"[13.392300680512166, 52.51530094637468]","[670, 1566]",MACRO,4G
6,"[13.395000917622221, 52.5046008063851]","[909, 385]",MACRO,4G
7,"[13.396700468420986, 52.5088002762971]","[1002, 858]",MACRO,4G
8,"[13.401800912473371, 52.51730062098104]","[1304, 1819]",MICRO,4G
9,"[13.393400691966548, 52.51430086379707]","[750, 1459]",MACRO,4G
10,"[13.404100458055936, 52.51130016947376]","[1491, 1159]",DAS,4G
11,"[13.396200545113217, 52.512100245872006]","[951, 1223]",MACRO,4G
12,"[13.403600304041007, 52.50520055208585]","[1489, 479]",MACRO,4G
13,"[13.402800857628675, 52.511200177949135]","[1403, 1144]",MACRO,4G
14,"[13.403800307463262, 52.516200781309124]","[1445, 1703]",MACRO,4G
15,"[13.390600723627996, 52.50600092566155]","[603, 527]",DAS,4G
16,"[13.388800736968673, 52.517000838211544]","[424, 1744]",DAS,4G
17,"[13.390600160478291, 52.50600024858525]","[603, 527]",DAS,4G
18,"[13.385100950676739, 52.51180080073403]","[200, 1155]",DAS,4G
19,"[13.390600381832106, 52.506000414068154]","[603, 527]",DAS,4G
20,"[13.385100767363454, 52.511800310621105]","[200, 1155]",DAS,4G
21,"[13.388800458683994, 52.517000351959226]","[424, 1744]",DAS,4G
22,"[13.384500208515336, 52.51920071461069]","[121, 1975]",MICRO,4G
23,"[13.38270025857221, 52.513600546643666]","[28, 1347]",MICRO,4G
24,"[13.390200214124853, 52.505000659806825]","[581, 415]",MACRO,4G
25,"[13.381800694124117, 52.516400871072115]","[-47, 1656]",DAS,4G
26,"[13.387500265846052, 52.518200760619216]","[329, 1874]",MACRO,4G
27,"[13.39070083793172, 52.51940089712409]","[540, 2017]",MACRO,5G
28,"[13.39030026105847, 52.50500035414295]","[588, 415]",MACRO,5G
29,"[13.395000580951777, 52.5049007650237]","[907, 419]",MACRO,5G
30,"[13.402900865986835, 52.51120026747853]","[1410, 1144]",MACRO,5G
31,"[13.396700768435615, 52.50870016593479]","[1003, 847]",MACRO,5G
32,"[13.415000185316453, 52.519900380851716]","[2185, 2150]",MACRO,5G
33,"[13.39050055063359, 52.50920028448378]","[580, 883]",MACRO,5G
34,"[13.403600911497069, 52.50520093180574]","[1489, 479]",MACRO,5G
35,"[13.388200363473876, 52.513100416257096]","[403, 1309]",MACRO,5G
36,"[13.393500274403198, 52.514400436566255]","[756, 1470]",MACRO,5G
